Gene	Birch #	Qn	N insertions	Species
OR6C1	1	1.22	6	Sylvilagus_floridanus, Budorcas_taxicolor, Mirounga_leonina, Vicugna_vicugna_mensalis, Pipistrellus_kuhlii, Ammotragus_lervia
PRSS36	1	0.87	9	Dromiciops_gliroides, Antechinus_flavipes, Trichosurus_vulpecula, Antechinus_flavipes, Sarcophilus_harrisii, Antechinus_flavipes, Trichosurus_vulpecula, Sarcophilus_harrisii, Sarcophilus_harrisii
KRBA2	2	0.87	9	Triplophysa_tibetana, Dallia_pectoralis, Xenopus_tropicalis, Merluccius_polli, Dallia_pectoralis, Merluccius_polli, Coilia_nasus, Xenopus_laevis, Dallia_pectoralis
IGSF11	1	0.87	9	Pteronotus_mesoamericanus, Coregonus_sp._'balchen', Mugil_cephalus, Dicerorhinus_sumatrensis_harrissoni, Oryctolagus_cuniculus, Sphaeramia_orbicularis, Prochilodus_magdalenae, Nibea_albiflora, Poeciliopsis_prolifica
TFEC	1	0.87	9	Carcharodon_carcharias, Callorhinchus_milii, Scyliorhinus_canicula, Oncorhynchus_kisutch, Oncorhynchus_mykiss, Gymnothorax_javanicus, Chiloscyllium_plagiosum, Chloebia_gouldiae, Leucoraja_erinaceus
SOX1	1	0.87	9	Staurois_parvus, Bombina_bombina, Xenopus_laevis, Eleutherodactylus_coqui, Xenopus_laevis, Rana_temporaria, Pelobates_cultripes, Xenopus_tropicalis, Spea_bombifrons
HOXB13	1	0.86	7	Eira_barbara, Mustela_lutreola, Solenodon_paradoxus, Taphozous_melanopogon, Phyllostomus_discolor, Lutra_lutra, Glossophaga_mutica
SKOR1	1	0.86	7	Stegostoma_tigrinum, Pristis_pectinata, Scyliorhinus_canicula, Thymallus_thymallus, Scleropages_formosus, Callorhinchus_milii, Salvelinus_namaycush
MAGEL2	1	0.86	7	Ictidomys_tridecemlineatus, Dipodomys_ordii, Neotoma_lepida, Peromyscus_maniculatus_bairdii, Cnephaeus_nilssonii, Lasiurus_cinereus, Mesocricetus_auratus
CARMIL2	2	0.84	5	Antechinus_stuartii, Sarcophilus_harrisii, Mustela_nigripes, Ornithorhynchus_anatinus, Trichosurus_vulpecula
GAP43	1	0.84	5	Balaenoptera_musculus, Vulpes_ferrilata, Urocyon_cinereoargenteus, Macroglossus_sobrinus, Lyroderma_lyra
DCAF17	1	0.84	5	Falco_biarmicus, Chelmon_rostratus, Cyanistes_caeruleus, Pipra_filicauda, Camarhynchus_parvulus
ZBED3	1	0.67	8	Peromyscus_californicus_insignis, Mus_pahari, Psammomys_obesus, Phataginus_tricuspis, Peromyscus_leucopus, Peromyscus_maniculatus_bairdii, Peromyscus_eremicus, Onychomys_torridus
SHISA7	1	0.67	8	Mus_musculus_castaneus, Phascolarctos_cinereus, Thymallus_thymallus, Muraenolepis_orangiensis, Tachyglossus_aculeatus, Trichechus_manatus_latirostris, Ornithorhynchus_anatinus, Mus_minutoides
APEX2	1	0.61	6	Salmo_salar, Malaclemys_terrapin_pileata, Hypomesus_transpacificus, Petromyzon_marinus, Terrapene_triunguis, Chelonoidis_abingdonii
NELFA	3	0.61	6	Nematolebias_whitei, Morone_saxatilis, Centropristis_striata, Trematomus_bernacchii, Solea_solea, Gymnodraco_acuticeps
SOSTDC1	1	0.61	6	Harpagifer_antarcticus, Lepisosteus_oculatus, Menidia_menidia, Trachurus_trachurus, Anabas_testudineus, Denticeps_clupeoides
PPP1R3F	2	0.61	6	Antechinus_flavipes, Mauremys_reevesii, Phrynocephalus_forsythii, Bettongia_penicillata_ogilbyi, Pogona_vitticeps, Tachyglossus_aculeatus
